Job post title;Firm name;Firm page;International students
JUNIOR SEO CONSULTANT;Dentsu italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=12;FALSE
Operativo via Mare/via Aerea.;DHL Global Forwarding (Italy);https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=121;FALSE
Operativo via Mare/via Aerea.;EATALY;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=13;TRUE
JUNIOR ANALYST - VALUTAZIONE INVESTIMENTI M&A;EDISON;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=132;TRUE
MARKET ANALYSIS, STRUCTURING & PRICING SPECIALIST;EDISON;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=132;TRUE
STAGE PLANNING PERFORMANCE BUSINESS MARKET;EDISON;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=132;TRUE
STAGE P&P CONSOLIDATO E CREDIT MONITORING - GAS & POWER MARKET;EDISON;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=132;TRUE
Company Solution Consultant;ENGINEERING;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=110;FALSE
Data Scientist;ENGINEERING;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=110;FALSE
Autocandidatura Engineering;ENGINEERING;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=110;FALSE
Business Analyst;EOLO;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=143;FALSE
Technology Opportunities - ambito Network & IT;EOLO;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=143;FALSE
Software Engineer (back-end developer);EOLO;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=143;FALSE
FARMACISTA - Milano, Monza e Brescia;ESSELUNGA;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=165;FALSE
STAGE LOGISTICA - Pioltello (MI) e Biandrate (NO);ESSELUNGA;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=165;FALSE
ALLIEVO RESPONSABILE DI NEGOZIO;ESSELUNGA;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=165;FALSE
STAGE ASSISTANT BUYER - Pioltello (MI);ESSELUNGA;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=165;FALSE
STAGE HR - Pioltello (MI);ESSELUNGA;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=165;FALSE
STAGE INFORMATION TECHNOLOGY - Pioltello (MI);ESSELUNGA;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=165;FALSE
FARMACISTA - Milano, Monza e Brescia;EY;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=131;TRUE
STAGE LOGISTICA - Pioltello (MI) e Biandrate (NO);EY;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=131;TRUE
ALLIEVO RESPONSABILE DI NEGOZIO;EY;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=131;TRUE
STAGE ASSISTANT BUYER - Pioltello (MI);EY;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=131;TRUE
STAGE HR - Pioltello (MI);EY;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=131;TRUE
STAGE INFORMATION TECHNOLOGY - Pioltello (MI);EY;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=131;TRUE
INTER MEDIA HOUSE INTERN;F.C. INTERNAZIONALE MILANO;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=147;FALSE
Partnership Marketing Account;F.C. INTERNAZIONALE MILANO;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=147;FALSE
E-Commerce Intern;F.C. INTERNAZIONALE MILANO;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=147;FALSE
IT Analyst Intern;F.C. INTERNAZIONALE MILANO;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=147;FALSE
Quality Assurance;FAMAR;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=139;FALSE
Quality Control;FAMAR;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=139;FALSE
Quality Assurance;Gi Group;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=175;TRUE
Quality Control;Gi Group;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=175;TRUE
Stage area training;Giuffrè Francis Lefebvre;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=176;TRUE
Stage Business Intelligence;Giuffrè Francis Lefebvre;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=176;TRUE
Stage Corporate & Digital Content;Giuffrè Francis Lefebvre;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=176;TRUE
Stage Telemarketing;Giuffrè Francis Lefebvre;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=176;TRUE
SOCIAL MEDIA SPECIALIST;GRUPPO CAP;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=94;FALSE
Junior Client Advisor;Gruppo Crédit Agricole;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=108;TRUE
Junior Corporate Assistant;Gruppo Crédit Agricole;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=108;TRUE
Junior Digital Specialist;Gruppo Crédit Agricole;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=108;TRUE
Depositary Bank Analyst;Gruppo Crédit Agricole;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=108;TRUE
Liquidatore Sinistri Junior;Gruppo Crédit Agricole;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=108;TRUE
Junior Attuariato Riserve e Modelli di Calcolo Vita;Gruppo Crédit Agricole;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=108;TRUE
Client Operation;Gruppo Crédit Agricole;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=108;TRUE
Apprendista Data Professional – Ufficio Credit Models;Gruppo Crédit Agricole;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=108;TRUE
Apprendista Junior Security Architect;Gruppo Crédit Agricole;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=108;TRUE
STAGE ASSISTANT SENIOR BRAND MANAGER;Gruppo Lactalis Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=4;FALSE
